view_id,date,campaign_name,channel_grouping,source,medium,ad_content,goal_8_completions
96577637,10/16/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),1
96577637,10/16/2022,2020 - hipotecas - display - discovery,Paid Search,google,cpc,(not set),1
